title,prediction,sentiment
Here Comes the Trump Slump,negative,negative
American companies with the worst reputations,positive,positive
"Lawsuit: IBM purged ‘gray hairs,' ‘old heads’ as it launched ‘Millennial Corps’",positive,positive
"The Federal Reserve is preparing the American financial system to withstand climate change, Chair Jerome Powell tells Democratic Sen. Brian Schatz",negative,neutral
China Power Crunch Is Next Economic Shock Beyond Evergrande,positive,positive
Lenta imposed restrictions on the sale of certain goods. Lenta is one of the largest retail chains in Russia.,negative,negative
"Trump will end Iran sanctions waivers, seeking to drive its oil exports to zero",positive,neutral
People not looking for work because of COVID-19,positive,positive
"After Peter Thiel's accusations about Google and China, when asked he said he was only ""asking questions"". Mr. Thiel, are you shorting Google?",negative,negative
"Administration Official Goes Rogue, Says Climate Change May Cause Next Financial Crisis",positive,positive
McKinsey study on automation and the future of work - increasing potential for mass job displacement.,negative,negative
"Inflation is surging, and corporate pricing is, too",positive,positive
More Americans have $1 million saved for retirement than ever before,negative,negative
Crack open an iPhone and you’ll begin to see why President Donald Trump’s ongoing trade war with China doesn’t make sense,negative,negative
"Mortgage rates just hit another record low, and here's how much lower they can go",negative,negative
Amazon facial recognition ban won just 2% of shareholder vote,negative,negative
"The European Central Bank cut rates to a surprise record low, and launched a sweeping round of stimulus",positive,positive
China responds to US after Treasury designates Beijing as a currency manipulator,negative,neutral
Why the horrific jobless claims report is actually worse,negative,negative
"Skilled Workers Are Scarce, Posing a Challenge for Biden’s Infrastructure Plan",positive,positive
Spain to EU: Forcing debt on members will deepen crisis -- Foreign minister urges bloc to give grants rather than loans to combat impact of coronavirus.,negative,neutral
White House projects $1 trillion deficit for 2019,negative,negative
Huge space hotel promises fake gravity and 'supersized basketball',negative,negative
"Restaurants Can't Handle the Demands of to-Go, Online Orders",positive,positive
"NYSE Reverses Itself Again, Moving To Delist 3 Large Chinese Telecoms",negative,negative
Crash course in Xi's Chinese Fourth Plenum,positive,positive
"Desperate for Workers, Restaurants Turn to Robots",positive,positive
Russia’s techies flee country they fear is ‘flying into an abyss’,positive,positive
Chinese Property Developer Fantasia Missed Debt Payment. (Title with corrected grammar),positive,positive
Millennials are killing countless industries — but the Fed says it's mostly just because they're poor,positive,positive
ELI5: The spikes in ruble vs dollars this past week,negative,positive
"Economy Recovers Pandemic Losses, but Faces New Test",positive,neutral
Not for sale: Danish MPs ridicule idea of Trump buying Greenland,positive,positive
"America's middle class is indeed 'hollowing out', but it's because they're moving up.",positive,positive
US national debt reaches a record $26 trillion,neutral,neutral
The Chronicle of Higher Education (Unpaywalled): America’s Standardized-Testing Giants Are Losing Money Fast,positive,positive
Boeing aircraft cancellations continue to outpace new orders,positive,positive
Regulators to probe stock manipulation allegations as GameStop shares drop below $100.,positive,positive
Tesla - A manufacturing revolution | Morgan Stanley,negative,negative
Ackman's fund zooms ahead as he casts himself as corporate helpmate,negative,negative
Prosecutors find Uber not criminally liable in 2018 Arizona self-driving crash that killed a pedestrian,positive,positive
U.S. companies facing worker shortage race to automate,positive,positive
The market for antidepressants has doubled (from USD 14B to 28B),neutral,neutral
Australia house prices falling at fastest rate since 2008 financial crisis,positive,positive
Davos panel on inequality becomes discussion about the very rich ‘paying their fair share'.,negative,negative
Bloomberg: Japan’s Economy Shrinks -3% as PM Kishida Mulls Stimulus Package,positive,positive
Denmark and Poland are refusing to bailout companies registered in offshore tax havens.,positive,positive
Why the Pandemic may never end… interesting article from NPR,negative,negative
Slack shows up for work and rallies in Wall Street debut,negative,positive
"'Amazon Doesn't Need The Money': In The D.C. Region, Resistance Is Growing To Tax Breaks For HQ2",positive,positive
"120 million workers will need to be retrained due to AI, says IBM study",positive,negative
"World Bank Warns Food, Gas Prices May Not Lower Before Mid-2022 Due to Rising Energy Costs",positive,negative
"In May-July 2018, users spent 300 billion hours in Facebook-owned apps, In comparison to Google apps where people spent ‘only’ 118 billion hours. Quantity is not everything. Thanks to great monetization, Google Average revenue per user is 700% higher than Facebook.",neutral,neutral
China pulls WTO suit over claim to be a market economy,positive,negative
NYC businesses told to pay up after not accepting cash,positive,negative
Mark Cuban: Libra Cryptocurrency Is A ‘Big Mistake’,positive,negative
Minority Women Are Winning the Jobs Race in a Record Economic Expansion: The economic and social trends that have long kept Hispanic and black women from making job and wage gains appear to be shifting.,negative,negative
The Delta variant hit the US economy hard. Will Omicron pack a similar punch?,negative,positive
Amazon HQ2 leaving NYC could be a turning point in corporate welfare,negative,neutral
FDA committee votes against Eli Lilly cancer treatment over concerns trials conducted only in China,negative,negative
Home Prices Are Surging. The Manufactured-Housing Industry Sees an Opening.,positive,negative
"The super rich elite have more money than they know what to do with | The top 1% has run out of investing ideas, so they’ve parked $4.7 trillion in the bank",positive,positive
Digital Currencies Pave Way for Deeply Negative Interest Rates - WSJ,negative,negative
Oil demand growth almost halves amid fears of economic slowdown,positive,neutral
Amazon will need to occupy tons of office space to get tax incentives for HQ2 in Virginia,negative,neutral
Putin’s War Ushers In Crisis for Russia,positive,negative
A reliable signal of recessions flashes for first time since 2007,negative,negative
Survey: Most Economists See Strong Growth for Remainder of 2021 and Into 2022 | Economy | US News,negative,neutral
USA economy is larger than 177 countries economies combined,neutral,neutral
Chick-fil-A no longer in plans for Buffalo airport due to LGBTQ issues,positive,negative
Investors Bet Inflation Pressures Will Linger,positive,negative
The U.S. Trade Deficit Dropped More Than Expected In January,positive,negative
"Asian women and men earned more than their White, Black, and Hispanic counterparts in 2017 : The Economics Daily: U.S. Bureau of Labor Statistics",negative,neutral
India Issues New Tender for Solar Power Equipment Factories - Bloomberg,negative,negative
Inflation Jumps in Canada After Statistics Agency Backtracks,positive,negative
Why America's Labor-Shortage Will Drive Inflation Higher,negative,negative
"As China’s Virus Cases Reach Zero, Experts Warn of Second Wave",positive,negative
Why a tax on homeworking is a really bad ideaâ€¦,negative,positive
The mystery isn’t why the birth rate is falling – it’s why anyone has kids at all,positive,positive
How data drives Uber’s efficient but controversial business model. Uber has been staffing up economists,positive,neutral
"Rating China's retaliation in the trade war: 'On a scale of 1-10, it's an 11'",negative,positive
US Removes Some Items From China Tariff List ...,negative,negative
"Oil jumps to two-week high on strong demand, tight supply",neutral,positive
Impossible Foods CEO promises kids they can beat him up if they're still eating dead animals in 2035,positive,positive
EXPLAINED : India Slips 10 Places On WEF's Global Competitiveness Index || What Does It Mean? Should We Even Care?,positive,negative
Recession in the USA and EU with Ukraine Crisis,positive,negative
Student Loan Relief For 1 Million More Borrowers — After Biden Cancels $2.3 Billion Of Student Loans,positive,negative
Biggest Private Coal Miner Goes Bust as Trump Rescue Fails,positive,negative
The US is increasingly a net debtor nation. Should we worry?,positive,positive
"USD Rapidly deflating against the Euro, Cad &amp; Pound - U.S. Inflation Problem Seemingly Isolated",positive,negative
"The US federal government reported a $146.9 billion deficit in March, causing annual debt to rise 15% for the first half of the budget year compared to the same period in 2018",neutral,positive
"What went wrong with US Centers for Disease Control and Prevention’s brand-new, $44 million website called VAMS—the Vaccine Administration Management System, built by the consulting firm Deloitte ?",negative,negative
Aluminium prices hit their highest since 2008,neutral,positive
Nigeria Faces `Lost Decade' as Economic Growth Stagnates,positive,negative
French economist claims inflation is overstated since price changes are also driven by improvement in product quality,positive,negative
Plunging Renewable Energy Prices Mean U.S. Can Hit 90% Clean Electricity By 2035 - At No Extra Cost,positive,negative
"Toyota, Honda Angry After Getting Shut Out of Electric Car Tax Credit | The Motley Fool",positive,negative
U.S. air travel falls for first week since April as coronavirus cases spike,positive,negative
Racial Disparities in the Paycheck Protection Program,negative,negative
How Chinaâ€™s Liquidity Squeeze Got Markets All Rattled,positive,negative
The Federal Reserve is poised to deliver another rate cut,negative,neutral
"As Economics Profession Looks to Draw Women, Hotel-Room Job Interviews Get Nixed",positive,negative
Beijing stays out of Evergrande’s financial crisis at risk to markets,negative,positive
Marlboro boss calls for a 2030 cigarette ban in some countries,negative,negative
White House Announces $16 Billion In Aid To Farmers Hurt By China Trade Dispute,positive,negative
"UK's Johnson begins election battle, vowing Brexit and casting rival as 'Stalin'",negative,negative
Trump Says He’s Exploring ‘Various Tax Reductions’ and the Economic Data He Loves Shows Why,negative,neutral
Facebook’s Meta mission was laid out in a 2018 paper declaring ‘The Metaverse is ours to lose’,negative,neutral
"FTD Files for Bankruptcy, Will Sell Assets",positive,positive
US jobless claims drop 52-year low amid seasonal volatility | AP News,positive,negative
Belgium to give workers right to request four-day week. Economic reforms include allowing staff to earn three-day weekend by working longer hours,negative,neutral
HP is buying gaming accessory brand HyperX for $425 million,negative,neutral
London handbag company recycles fire hoses into fashion accessories,negative,neutral
Ireland: Operating A Cryptocurrency Company Without Registration With The Central Bank Is A Crime,negative,positive
A Key Gauge of Future Inflation Is Easing,negative,neutral
Meet the company making mouse meat cat treats without harming animals,negative,neutral
U.S. trade deficit with China hits five-year low,positive,negative
Tesla sues Rivian over ‘disturbing pattern’ of alleged trade secret theft,positive,negative
Economics actually works!,negative,neutral
Facebook's Mark Zuckerberg loses $8.5b due to outage,positive,negative
"Fed’s Brainard Says Banks Likely to Need Direction From Regulators on Managing Climate Risks. ‘Climate change could have profound consequences’ on economic activity, says Fed governor.",positive,negative
Jack in the Box will Acquire Del Taco In a $575 Million Deal,negative,neutral
"USA might offer tax credits to solar manufacturing companies - Solar Panels - 11¢/watt of the solar panel, Solar Cells -4¢/watt of the solar cell, Solar Wafers -$12 per square meter, and Polysilicon at - $3 per kg",negative,neutral
"Can $500 a Month Change Your Life? - A California-based experiment in universal basic income considers the mundane, and potentially transformative, power of a little extra cash.",negative,neutral
Rwanda just released the first smartphone made entirely in Africa,negative,neutral
Covid-19: A new variant has the world on edge,negative,positive
Trump says tariffs on China will be increased to 25% as trade talks stall,neutral,positive
China is lowering tariffs on other countries amid trade war with the US,positive,negative
Jay-Z Invests In Vegan Cheese Company With Chris Paul; Helps Misha's Kind Foods Raise $3 Million,negative,neutral
Nestle suspends capital investment in Russia,positive,neutral
Trump Gives World’s Worst Economist the Presidential Medal of Freedom,positive,positive
AOC’s Anti-Billionaire Crusaders Are Spreading in New York City,positive,neutral
Bruegel: The Independence of the Central Bank at Risk,negative,positive
29% of Americans are considered 'lower class',positive,positive
It's Just Good Business: Even Red States Are Dumping Coal for Solar,negative,neutral
Biden’s Sharp-Elbows China Policy Hints at More Trump-Style Pain,negative,positive
Many Hospitals Charge Double or Even Triple What Medicare Would Pay,negative,positive
Trillions of dollars spent on Covid recovery in ways that harm environment,negative,positive
Abhijit Banerjee offers ‘print money’ pill (India),negative,positive
Chinese agency lowers Ukraine sovereign debt rating in Russian invasion aftermath,positive,neutral
Apple and Disney among companies backing groups against US climate bill,negative,positive
How Amazon is helping employees start their own delivery businesses,negative,neutral
College Financial-Aid Loophole: Wealthy Parents Transfer Guardianship of Their Teens to Get Aid,negative,positive
France calls on northern Europe to boost spending,neutral,negative
US to block cotton from China region targeted in crackdown,negative,negative
"How does covid hospitalization cost $20k per person, but it costs delta airlines $50k per person?",negative,positive
A Resurgent World Economy Is Seen Leaving Many Behind | OECD raises 2021 GDP forecasts but warns recovery is uneven,positive,positive
Elon Musk's Management Advice Is So Freakin' Brilliant That I Threw Away 37 Business Books,positive,positive
Even a wealth tax won't level income inequality,negative,positive
This Danish bank is offering mortgages with a negative interest rate,positive,negative
India’s government is scrambling to revive the economy,positive,positive
S&amp;P 500 posts highest close since November 8 on trade optimism,negative,negative
"Drained: As Dollar Liquidity Dries Up, Look For The Fed To Begin Easing — the US Treasury’s “aggressive” debt issuance is going to suck a significant amount of USD from the banking system (many dollars needed to buy $433 billion worth in T-bills) at a time when financial conditions are very tight..",positive,negative
"The New Capitalism Is Looking a Lot Like the Old Capitalism — Dozens of CEOs questioned over Business Roundtable statement — Critics point to rising inequality, climate change concerns",negative,negative
A Generation of American Men Give Up on College: ‘I Just Feel Lost’,positive,positive
UK set to formally apply for trans-Pacific trade bloc membership,negative,neutral
Fed Set to Launch Multitrillion Dollar Helicopter Credit Drop,negative,neutral
"New Architectures, Much Faster Chips",negative,neutral
Fed Chairman Powell says he doesn't expect recession,negative,neutral
Wunderlist founder wants to buy his app back from Microsoft,negative,neutral
The Coronavirus Is the Biggest Emerging Markets Crisis Ever,positive,positive
"95 percent of baby foods tested contain toxic metals, new report says — Only nine of the 168 baby foods tested weren't found to contain arsenic, lead, cadmium or mercury",positive,positive
"Fed to Cut Rates Again, But What Comes After That?: Economy Week",negative,neutral
Plastic bag use down 90% in England since 5p levy,positive,negative
Walmart winds down Jet.com four years after $3.3 billion acquisition of e-commerce company,positive,neutral
"""The Development of Economic Doctrine: An Introductory Survey"" (a book I just scanned from 1931, in its 1980 second edition, PDF format)",negative,positive
Census: Relief payments staved off hardship in COVID crash,positive,positive
US Treasury says it is gearing up to issue a 50-Year bond,negative,positive
"A Cheap, Race-Neutral Way to Close the Racial Wealth Gap: It’s time to try baby bonds.",negative,positive
Going Big and Fast on Renewables Would Save Trillions in Energy Costs,negative,positive
Most voters will blame Donald Trump if America enters recession: Poll,positive,negative
"China Posts Robust Export Growth in October, Beats Estimate - Bloomberg",neutral,negative
Invitation Homes CEO says he’s not worried about a housing bubble despite price spikes. Here’s why,negative,neutral
SEC Considers Banning Payment for Order Flow,negative,positive
"Chinese companies brace for tariff hike: ‘If the tariffs rise to 25%, then we’re done for’",negative,negative
Cash flow clarity - Mauboussin,negative,positive
China’s bid to stabilise its property market is causing jitters | The Economist,positive,negative
"Private payrolls surge by 275,000 in April, blowing past estimates and biggest gain since July",positive,negative
Trump’s tariffs are expected to hit women and lower-income Americans the hardest,positive,negative
'Complete collapse of economies' ahead as Africa faces virus,positive,negative
US graduates in crisis: ‘Entry level jobs are not safe at all’,positive,negative
"Biden says he will forgive $10,000 in student loan debt for millions of borrowers, up to $20,000 for some.",negative,negative
What’s it like to live on less than $2 a day?,negative,neutral
"In Argentina, nearly half in poverty as coronavirus lockdowns deepen economic crisis",positive,neutral
"The China Trade War Reaches Tech, How Far Will it Go?",negative,neutral
Dollar falls to nine day low as rally pauses aussie and kiwi rebound,positive,negative
A free Amazon alternative focused on local shopping has quietly redirected $25 million in spending from Jeff Bezos to small businesses across the U.S.,negative,positive
CNBC: Sen. Joe Manchin says there's no way to pass $3.5 trillion budget bill by September 27,negative,neutral
Atlanta Fed GDPNow model cuts U.S. Q3 GDP growth to 1.3% from 2.3%,positive,negative
13 real-estate agents reveal their strangest requests from clients,negative,neutral
Kashkari Says U.S. May Face 18 Months of Rolling Shutdowns,positive,neutral
Curreen Capital Q3 Letter,negative,positive
German industrial orders slump most in over two years in February,positive,negative
U.S. new home sales beat expectations; supply near 13-year high,neutral,negative
Israel Mulling Tourist Tax,negative,neutral
Tesla TSLA Writeup - JCoviedo Value Investors Club (PDF),negative,neutral
Global firm set to restructure global economy with 'enterprise cities' - deregulated zones acquired from governments where they'll set their own legislation and working conditions,negative,positive
"China April industrial output cools, retail sales growth falls to 16-year low as trade risks rise",positive,neutral
"China economy slows as power cuts, property woes and Covid take toll: GDP grew 4.9% in the quarter to September, the lowest for a year, as the post-pandemic recovery loses steam and Evergrande problems persist",positive,negative
'How about paying your taxes?': A Walmart exec hit back at Jeff Bezos after he called out the company's low minimum wage,positive,negative
Natural-Gas Prices Fall From Peak as Warm Autumn Buoys Stockpiles,positive,neutral
California Limits Single-Family Home Zoning,negative,neutral
Apple cuts Russia off from its products and services,positive,negative
US and EU economies hang on Chinese imports,positive,neutral
Microsoft breached in suspected Russian hack using SolarWinds,positive,negative
A Dunkin' coffee shop in Colorado is temporarily closing after the number of staff fell from 15 to 3 and it couldn't find anyone to replace them,positive,negative
Fitch downgrades Hong Kong after months of protests,positive,negative
Amazon's first coronavirus case in a US warehouse could complicate shipping,positive,negative
New York Fed extends daily repo operations to November 4,negative,positive
Ford to make electric car parts at Halewood plant,negative,positive
Wall Street Firms Said to Agree to Clean Up Shady (Manufactured defaults) CDS Trades,negative,negative
"More than 700 leading economists, including 7 Nobel winners, urge US voters to reject Trump, a 'selfish and reckless' president",positive,negative
Fed repo: Worries continue over the efforts to fix funding issues,positive,negative
LA Mayor Slashes LAPD Budget As Calls To ‘Defund Police’ Slowly Pick Up Steam,positive,negative
China Launches Investigation Into FedEx in Trade War Escalation,positive,negative
"Federal Jobless Aid, a Lifeline to Millions, Reaches an End",positive,negative
EY Fights Fires on Three Audit Cases That Threaten its Global Reputation,positive,negative
"Fed’s Kaplan, Rosengren to Sell All Stocks Amid Ethics Concerns",negative,negative
India Hoped for an Abe. It Got a Lost Decade,negative,negative
China Cuts Reserve Requirement Ratio as Economy Slows,positive,negative
The California Economy Isn’t Just a U.S. Powerhouse — There are good reasons why one American state leaves big countries like France and Italy in the rearview mirror and overtook the U.K. last year.,negative,neutral
"Amazon changed traffic light timing during union drive, county officials say - The Verge",negative,negative
The Dollar May Be Knocked off Its Pedestal,positive,negative
Hedge fund Elliott dumps SoftBank stake after souring on Masayoshi Son,positive,negative
Russia-Ukraine puts 10% U.S. inflation on radar as BlackRock repeats central banks may have to live with inflation,positive,negative
Powell: Fed 'not forecasting or expecting a recession',positive,negative
Companies Need to Prepare for the Next Economic Downturn,negative,negative
Does a high marginal tax rate stunt the growth of an economy? Billionaire Michael Dell (Dell Computers) gets schooled by MIT professor Erik Brynjolfsson,negative,positive
What Friedman got wrong about the Great Depression cost us during the Great Recession,negative,positive
"U.S. stock futures, oil regain some ground after Omicron battering",positive,negative
Pig ‘Ebola’ Virus Sends Shock Waves Through Global Food Chain,positive,positive
Self-interested G7 leaders unlikely to save the world from the next economic crisis,positive,positive
"After Bitcoin, These Alternate Cryptocurrencies May See A Surge In Future",neutral,negative
Halting east Asia’s education arms race could help birth rates,positive,negative
Demand for Cryptocurrency Explodes in Zimbabwe After Foreign Currency Ban,positive,negative
Dutch regulators find Apple's payment rules for App Store are anti-competitive,negative,negative
Trump’s Bid to Dismantle Global Trading System Poised for a Win,negative,negative
"If Lyft can’t keep its drivers as independent contractors, it may never be profitable",negative,positive
"Fed Vice Chair Clarida anticipates rate hikes starting in 2023, sees upside risks to inflation",positive,negative
Biden administration announces the biggest increase to food stamps ever,neutral,neutral
Wheat prices hit 14-year highs after Russian invasion of Ukraine | CBC News,neutral,positive
US budget deficit jumps 23.1% over last year as debt crisis looms,positive,positive
Venture capital undermines human rights,positive,positive
A crack just emerged in the financial markets: The NY Fed spends $53 billion to rescue the overnight lending market,negative,positive
Norwegian Air asks for more time to pay off bonds,negative,negative
Ex-Fed boss Greenspan says ‘there is no barrier’ to Treasury yields falling below zero,positive,negative
Linda McMahon to resign as Small Business Administration head,positive,negative
The Small Business Administration Just Burned Through $350 Billion,positive,negative
"The Cost of Financialization-Globalization: You Lost $500,000 and Gained $137.13",negative,positive
Big multinational companies moving out of China,positive,negative
The World Better Get Used to Negative Rates: They’re the only way to bring down excessive debt levels that have grown too large to be managed.,positive,positive
"China's inflation slows, leaving room for policy easing",positive,negative
"US: Rising bond yields, a concern for equity investors?",negative,negative
The macroeconomic effects of student debt cancellation,negative,negative
Types of Accounting Errors and How to Correct Them?,negative,negative
Companies House rejects 800 potentially offensive names,positive,negative
FBI Director Says China Is Trying to 'Steal Their Way' to Economic Dominance,positive,negative
The Weakness of the Despot,positive,negative
Is Amazon stock about to pop or drop?,negative,negative
Instacart president Carolyn Everson announces departure just three months after she started,negative,negative
Seniors still paying on student loans,positive,negative
"Pressure to restart auto industry grows, but it faces major hurdles",negative,negative
US housing starts jump in April amid lower mortgage rates,positive,neutral
Housing Market Troubles Signal Potential Economic Slowdown,positive,negative
"Job referrals: Women tend to favor women when choosing a candidate, &amp; men do not attach much importance to the gender; gendered networks alone fail to explain the observed gender homophily in referred-referrer pairs",positive,negative
Cutting Pandemic Unemployment Benefits Didn't Boost Employment,positive,negative
Swiss Firm in Panama Papers Charged in Transatlantic Stock Scam,positive,negative
Study: Work requirements for SNAP don’t increase employment numbers,positive,negative
"Beyond Evergrande, China’s Property Market Faces a $5 Trillion Reckoning",negative,negative
Closely watched Atlanta Fed GDP model now sees growth at just 1.4 percent for fourth quarter,negative,neutral
Risk Parity beats the Endowment Model according to PanAgora Research,negative,negative
Tesla Stops Gigafactory Berlin Construction Due To Missing $100M Deposit: Report,positive,negative
US Home Sale Prices Experience First Annual Decrease in 7 Years,positive,negative
Family Dollar recall: 404 stores closed in 6 states after rodent infestation. See the list.,positive,negative
The Tech Automation In Finance Industry Helping The Startups To Grow,negative,negative
Stocks enter bear market as coronavirus is declared a pandemic.,positive,negative
A Movement To Unionize Workers At Amazon Is Gaining Momentum,negative,negative
"Employers Add 263,000 Jobs in April, More Than Expected",neutral,negative
Washington establishment freaks out as Modern Monetary Theory gains currency,positive,positive
OVERNIGHT ENERGY: Biden administration rolls out clean car goals | White House unveils extra $3 billion in local disaster funding,negative,negative
"Everybody take the week off, Wall Street firm tells staff",negative,negative
Banks increasingly unload flooded-out mortgages at taxpayer expense,positive,negative
How exactly does Elon Muskâ€™s $420 tweet increase the Teslaâ€™s stock price by 9%?,negative,negative
Workers get pay jackpot as employers fight labor shortage;. business leaders expect wages to keep going up,negative,negative
Chinaâ€™s Churning Out Revolutionary Cancer Drugs Much Cheaper Than the U.S.,negative,negative
"If Student Loans Might Be Canceled, Why Not Borrow More?",negative,negative
White House Admits Trump Is Blatantly Lying About His Trade War,positive,negative
Black US farmers awaiting billions in promised debt relief,negative,negative
Bill and Melinda Gates back UK A.I. start-up developing antiviral drugs to prevent pandemics,negative,negative
Global Economy Braces for Impact of Russia’s War on Ukraine as Central banks are delaying or softening rate increases after relying on easy money to get through the Covid-19 pandemic,positive,positive
Democrats Choosing Less Risky Path on Drug Prices,negative,negative
Russia in control of nuclear plant in Ukraine - report,negative,negative
"From Spain to Germany, Farmers Warn of Fresh Food Shortages",negative,negative
Investors warned about antibiotic overuse in livestock,positive,positive
New York attorney general says Exxon used two sets of books and misled investors by downplaying the potential costs of carbon emissions.,positive,positive
Netflix Estimates ‘Squid Game’ Will Be Worth Almost $900 Million,negative,negative
Noam Chomsky: Trump’s “Economic Boom” Is a Sham,negative,negative
The 2006 Origins of the Lockdown Idea â€“ AIER,negative,negative
Wealthy Russians flock to Dubai as west tightens sanctions,negative,negative
Everyday Economists | The postwar generation understood why a prosperous working class is crucial to the economy. Can economics be accessible again to ordinary Americans?,negative,negative
The Only Way Is Down for Central Bankers Already at Peak Rates,negative,negative
Explainer-U.S. gasoline prices could fall below $3 if oil market sustains losses. Why is $5 the new normal?!…,positive,positive
New Data Analysis of U.S. ‘Oligopoly Problem’ Reaffirms Antitrust Push: UMD Economist,negative,negative
Trump’s New Auto Rollback Is an Economic Disaster,negative,negative
Fear of coronavirus resurgence reaches Wall Street,negative,negative
"Inflation by City, from Hot to Cool, from San Francisco to Chicago",negative,negative
"With the World's two largest economies showing signs of slowing, and Europe entangled in the Brexit mess, should we see larger growth from emerging markets? Is there any reliable data about it?",negative,negative
Chipotle will offer to pay tuition fees for employees to get tech and business degrees,negative,negative
U.S. consumer debt is now breaching levels last reached during the 2008 financial crisis,positive,positive
"Lyft posts large loss in its first quarterly report as a public company, stock falls 2%",positive,positive
"Jeremy Grantham warns of an epic market bubble, bemoans the meme-stock boom, and touts venture capital in a new interview",negative,negative
Opinion: Social Security could be insolvent within 8 years,negative,negative
"US stocks open lower, pulling further back from records",positive,positive
Applying a Fundamental and Value-Oriented Approach to Investing (w/ David Abrams),negative,negative
Chinese banks quietly lower limit on US dollar cash withdrawals,positive,positive
"Goldman is closing down its Russia business, making it among the first Wall Street banks to do so",positive,positive
"$15 minimum wage would boost pay for 17 million but 1.3 million would lose their jobs, CBO says",positive,positive
Weekly Macro Summary 3/24/19,negative,negative
A new macroeconomic theory,negative,negative
Consumer prices rose at the fastest pace since 1982.,neutral,neutral
Is the Great Stagnation Finally Coming to an End?,negative,negative
"Exclusive: Under U.S. sanctions, Iran and Venezuela strike oil export deal",positive,positive
"Inflation: largely transitory thus far, but other risk factors also present",negative,negative
"China's elite scramble for path to Xi's 'common prosperity.' Massive wealth inequality in China: The top 10% of households own three or more homes. Meanwhile, 70% of migrants and millennials in cities cannot afford to buy their first home.",positive,positive
"Fed Chair Powell notes 'highly uncertain' Ukraine impact, but says rate hikes are still coming",positive,positive
Saudi Aramco to Restart Preparations for World's Largest Ever IPO,negative,negative
Spirit Airlines close to agreeing major Airbus order: sources,negative,negative
U.S. sales of existing homes jump 20% after a 3-month slump,neutral,neutral
U.S. to approve Huawei sales where there is no threat to national security,negative,negative
"When Facebook goes down, an economy goes with it - Facebookâ€™s outage cost small advertisers thousands of dollars",positive,positive
KPMG accused of giving 'false and misleading' information to regulator,positive,positive
U.S. jobless claims fall in sign of labor market strength,positive,positive
"Chinaâ€™s population is shrinking, fast",positive,positive
Amazon's second headquarters clears blocks in Virginia funding vote,negative,negative
Disney Assumes Full Control of Hulu in Deal With Comcast,negative,negative
FT: Evergrande liquidity crisis: why the property developer faces risk of default,negative,positive
"Facebookâ€™s $6 Billion India Bet Kindles War With Amazon, Walmart",negative,negative
"Oil set to ‘crater’ Monday as OPEC meeting delayed, tensions flare between Saudi Arabia and Russia",positive,positive
How a Trump Tax Break to Help Poor Communities Became a Windfall for the Rich,negative,negative
Bruegel: The campaign against â€˜nonsenseâ€™ output gaps,negative,negative
"Pandemic-hit Lufthansa says 22,000 jobs to go",positive,positive
Beyond Meat’s stock pops on report that meatless companies are struggling to keep up with surging demand,positive,positive
Inflation Is Coming for Your Digital Subscriptions,negative,negative
"Following social media pressure, McDonald's joins companies suspending business in Russia | CBC News",positive,positive
Risk of 'lost generation' amid global asset bubbles and debt crises,positive,positive
"NY Fed Quarterly Report on Household Debt and Credit. 2019Q1 (Released May 14, 2019). Aggregate household debt balances ticked up in the first quarter of 2019 for the 19th consecutive quarter, and are now $993 billion (7.7%) higher than the previous (2008Q3) peak of $12.68 trillion.",neutral,neutral
"AP News: Live updates: European Union freezes assets of Putin, Lavrov",positive,positive
When Environmental Regulations Backfire,negative,negative
The Fed’s Dangerous ‘New Normal’: Is the Fed becoming the president’s piggy bank of choice?,negative,negative
"China's hedgemony in Rare Earth Metals and reasons this ""Hawkish"" narrative should be questioned",negative,negative
Can a Sole Founder Build a Profitable Startup?,negative,negative
"Currency collapse fuels mass protests in Lebanon; The Lebanese pound, which has officially been pegged at 1,500 to the dollar for two decades, fell to 6,000 to the dollar on the parallel market on Thursday. The pound started the week at 4,000 to the dollar, falling 50 per cent in four days",positive,positive
Inflation is driving a sharp downturn in U.S. consumer views about the economy.,positive,positive
Japan's fiscal condition worsens further amid COVID-19 malaise,positive,positive
Beijing unveils detailed reform plan to make Shenzhen the global city for China amid ongoing Hong Kong crisis,negative,negative
"Congress won’t pass a new stimulus package, and that could send the S&amp;P 500 under 2,700",positive,positive
"GOP’s Response to Inequality Crisis? More Tax Cuts for the Rich, of Course.",negative,negative
Florida Supreme Court rules in favor of utility solar development – pv magazine USA,negative,negative
Tesla delays price hike because of â€˜unusually high volumeâ€™ of last-minute orders,positive,positive
"The 'Trump effect' is slowing progress on climate change, but investors are fighting back and winning",positive,positive
U.S. current account deficit widens to 14-year high in second quarter,neutral,neutral
Companies from Chipotle to Whirlpool are raising prices on consumers because of higher costs,negative,positive
Coinbase’s offering docs have just dropped [S1 link in comments],positive,positive
Study analyzes alcohol and drug use and abuse in the workplace,negative,negative
World population forecast to decline for the first time in centuries,positive,positive
EV start-up Polestar takes shots at Tesla CEO Elon Musk and Volkswagen in Super Bowl ad,negative,negative
Fed Chair Powell reiterates economic recovery still hasn’t progressed enough to begin QE tapering,positive,positive
Illinois is screwed,negative,negative
Good twitter thread by Michael Mauboussin,negative,negative
"Net worth at midlife inversely associated with mortality, cohort study finds",negative,negative
Mortgage rates are dropping — so why aren’t more people buying homes?,positive,positive
Immigrants Propel Population Growth in 10% of U.S. Counties - WSJ,neutral,neutral
